21-8232-4222,5,2023-11-09 18:24:07.117000 UTC
193-5924-6381,11,2023-11-09 18:23:36.170000 UTC
21-8232-4126,5,2023-11-09 18:22:22.137000 UTC
107-7150-9593,44,2023-11-09 18:19:08.867000 UTC
21-8232-3931,44,2023-11-09 18:18:36.970000 UTC
21-8232-3902,5,2023-11-09 18:18:08.387000 UTC
193-5924-6007,1,2023-11-09 18:16:26.343000 UTC
21-8232-3795,44,2023-11-09 18:15:55.760000 UTC
107-7150-9364,44,2023-11-09 18:14:45.633000 UTC
193-5924-5886,1,2023-11-09 18:14:20.150000 UTC
21-8232-3700,44,2023-11-09 18:14:18.183000 UTC
107-7150-9270,44,2023-11-09 18:13:02.313000 UTC
21-8232-3599,1,2023-11-09 18:12:25.143000 UTC
21-8232-3564,5,2023-11-09 18:11:40.497000 UTC
21-8232-3471,5,2023-11-09 18:09:51.693000 UTC
21-8232-3466,5,2023-11-09 18:09:49.363000 UTC
107-7150-9008,11,2023-11-09 18:08:04.110000 UTC
21-8232-3370,5,2023-11-09 18:07:56.373000 UTC
193-5924-5488,44,2023-11-09 18:06:37.677000 UTC
21-8232-3198,44,2023-11-09 18:04:43.180000 UTC
21-8232-3033,1,2023-11-09 18:01:38.320000 UTC
21-8232-2979,44,2023-11-09 18:00:36.767000 UTC
21-8232-2785,5,2023-11-09 17:56:56.980000 UTC
193-5924-4947,11,2023-11-09 17:56:36.280000 UTC
21-8232-2750,44,2023-11-09 17:56:19.553000 UTC
21-8232-2732,5,2023-11-09 17:56:01.187000 UTC
193-5924-4894,5,2023-11-09 17:55:49.700000 UTC
21-8232-2681,11,2023-11-09 17:55:09.117000 UTC
193-5924-4774,5,2023-11-09 17:53:29.113000 UTC
21-8232-2564,44,2023-11-09 17:53:05.867000 UTC
193-5924-4415,5,2023-11-09 17:47:10.607000 UTC
21-8232-2224,5,2023-11-09 17:47:09.623000 UTC
21-8232-2222,5,2023-11-09 17:47:08.760000 UTC
21-8232-2202,44,2023-11-09 17:46:40.660000 UTC
193-5924-4347,5,2023-11-09 17:46:03.760000 UTC
193-5924-4318,5,2023-11-09 17:45:27.037000 UTC
21-8232-1981,5,2023-11-09 17:42:38.230000 UTC
21-8232-1971,5,2023-11-09 17:42:26.847000 UTC
193-5924-4088,44,2023-11-09 17:41:16.743000 UTC
193-5924-4076,44,2023-11-09 17:40:56.547000 UTC
21-8232-1873,44,2023-11-09 17:40:45.190000 UTC
107-7150-7447,44,2023-11-09 17:39:32.837000 UTC
21-8232-1771,5,2023-11-09 17:38:45.320000 UTC
193-5924-3935,5,2023-11-09 17:38:22.790000 UTC
107-7150-7388,5,2023-11-09 17:38:20.307000 UTC
